command,pointer,valid,type,channel,head_hex,triple_referenced,triple_sound_indices,direct_source_reference
550,0x00AE6E,True,1,3,01030000,False,,
551,0x00AE80,True,1,4,01040000,False,,
552,0x00AE92,True,1,1,01010000,True,057,
553,0x00AEA4,True,1,2,01020000,False,,
554,0x00AEB6,True,1,3,01030000,False,,
555,0x00AEC8,True,1,4,01040000,False,,
556,0x00AE92,True,1,1,01010000,True,058,
557,0x00AEA4,True,1,2,01020000,False,,
558,0x00AEB6,True,1,3,01030000,False,,
559,0x00AEC8,True,1,4,01040000,False,,
560,0x00AEDA,True,1,1,01010000,True,059,
561,0x00AEEC,True,1,2,01020000,False,,
562,0x00AEFE,True,1,3,01030000,False,,
563,0x00AF10,True,1,4,01040000,False,,
564,0x019646,True,1,1,01010000,True,282,
565,0x019664,True,1,2,01020000,False,,
566,0x019682,True,1,3,01030000,False,,
567,0x0196A0,True,1,4,01040000,False,,
568,0x00AF22,True,1,1,01010000,True,283,
569,0x00AF34,True,1,2,01020000,False,,
570,0x00AF46,True,1,3,01030000,False,,
571,0x00AF58,True,1,4,01040000,False,,
572,0x00AF6A,True,1,1,01010000,True,284,
573,0x00AF7C,True,1,2,01020000,False,,
574,0x00AF8E,True,1,3,01030000,False,,
575,0x00AFA0,True,1,4,01040000,False,,
576,0x00AFB2,True,1,1,01010000,True,285,
577,0x00AFC4,True,1,2,01020000,False,,
578,0x00AFD6,True,1,3,01030000,False,,
579,0x00AFE8,True,1,4,01040000,False,,
580,0x00AFFA,True,1,1,01010000,True,286,
581,0x00B00C,True,1,2,01020000,False,,
582,0x00B01E,True,1,3,01030000,False,,
583,0x00B030,True,1,4,01040000,False,,
584,0x00B042,True,1,1,01010000,True,287,
585,0x00B054,True,1,2,01020000,False,,
586,0x00B066,True,1,3,01030000,False,,
587,0x00B078,True,1,4,01040000,False,,
588,0x00B08A,True,1,1,01010000,True,0D3,
589,0x00B09C,True,1,2,01020000,False,,
590,0x00B0AE,True,1,3,01030000,False,,
591,0x00B0C0,True,1,4,01040000,False,,
592,0x00B0D2,True,1,1,01010000,True,0D4,
593,0x00B0E4,True,1,2,01020000,False,,
594,0x00B0F6,True,1,3,01030000,False,,
595,0x00B108,True,1,4,01040000,False,,
596,0x00B11A,True,1,1,01010000,True,0D5,
597,0x00B12C,True,1,2,01020000,False,,
598,0x00B13E,True,1,3,01030000,False,,
599,0x00B150,True,1,4,01040000,False,,
600,0x00B162,True,1,1,01010000,True,0D6,
601,0x00B174,True,1,2,01020000,False,,
602,0x00B186,True,1,3,01030000,False,,
603,0x00B198,True,1,4,01040000,False,,
604,0xFFFFFF,False,,,,False,,
605,0xFFFFFF,False,,,,False,,
606,0xFFFFFF,False,,,,False,,
607,0xFFFFFF,False,,,,False,,
608,0xFFFFFF,False,,,,False,,
609,0xFFFFFF,False,,,,False,,
610,0xFFFFFF,False,,,,False,,
611,0xFFFFFF,False,,,,False,,
612,0xFFFFFF,False,,,,False,,
613,0xFFFFFF,False,,,,False,,
614,0xFFFFFF,False,,,,False,,
615,0xFFFFFF,False,,,,False,,
616,0xFFFFFF,False,,,,False,,
617,0xFFFFFF,False,,,,False,,
618,0xFFFFFF,False,,,,False,,
619,0xFFFFFF,False,,,,False,,
620,0xFFFFFF,False,,,,False,,
621,0xFFFFFF,False,,,,False,,
622,0xFFFFFF,False,,,,False,,
623,0xFFFFFF,False,,,,False,,
